Title,Description,Link,Published Date
Elite force bucks trend of Ukrainian losses on eastern front,"<p>The Azov brigade, which leaders say has a culture of ‘mutual respect’, is tasked with repelling relentless Russian attacks as the invaders make most of artillery mismatch</p><p>Fifteen miles east of the garrison town of Lyman, a desperate fight has been taking place on Ukraine’s eastern front for months. The once verdant <a href=""https://x.com/DefenceU/status/1783064243060756850"">Serebryansky pine forest</a> has been reduced to burnt-out stumps, reminiscent of images from the Somme, destroyed amid Russian attacks aimed at eliminating Ukrainian foxholes.</p><p>Fearful that the frontline could crack last summer, Ukraine’s commanders deployed the Azov infantry brigade to the sector. Their task was and is to repel what “Maslo”, a 29-year-old staff sergeant with the unit’s first battalion, described as “constant assaults, every day, sometimes for 24 hours”. Occasionally the brigade makes dangerous counterattacks on foot.</p> <a href=""https://www.theguardian.com/world/2024/apr/27/elite-force-bucks-trend-of-ukrainian-losses-on-eastern-front"">Continue reading...</a>",https://www.theguardian.com/world/2024/apr/27/elite-force-bucks-trend-of-ukrainian-losses-on-eastern-front,2024-04-27 04:00:25
Hamas is ‘reviewing Israel’s latest Gaza ceasefire proposal’,"<p>Signs of renewed truce talks come as UN warns ‘famine thresholds in Gaza will be breached within six weeks’</p><p>Hamas has said it is studying the latest Israeli counterproposal regarding a potential ceasefire in Gaza, a day after media reports said a delegation from Egypt had arrived in Israel in an attempt to jumpstart stalled negotiations.</p><p>The signs of renewed truce talks come as the UN warned that “famine thresholds in Gaza will be breached within the next six weeks” unless massive food assistance arrives.</p> <a href=""https://www.theguardian.com/world/2024/apr/27/hamas-reviewing-israel-latest-gaza-ceasefire-proposal"">Continue reading...</a>",https://www.theguardian.com/world/2024/apr/27/hamas-reviewing-israel-latest-gaza-ceasefire-proposal,2024-04-27 15:15:07
Revealed: UK government was warned of infected blood risks in 1970s,"<p>Documents show officials were told blood plasma harvested from US convicts was contaminated with viruses</p><p>• <a href=""https://www.theguardian.com/uk-news/2024/apr/27/plasma-true-story-uk-infected-blood-scandal-products"">Read more: the true story of the UK infected blood scandal</a>; plus: <a href=""https://www.theguardian.com/uk-news/2024/apr/27/uk-infected-blood-scandal-killed-brothers-inquiry-britain-stories"">‘My mum gave the injections that killed my brothers’</a></p><p>A commercial blood product at the centre of the <a href=""https://www.theguardian.com/uk-news/contaminated-blood-scandal"">biggest treatment scandal</a> in the history of the NHS was approved for use after government officials were told convicts were among the paid donors and virus contamination “should be assumed”, corporate filings reveal.</p><p>The product, given to ­haemophiliacs to enable their blood to clot, was injected into thousands of patients in&nbsp;the UK in the 1970s and 1980s, ­including young children, who were infected with Aids and hepatitis C.</p> <a href=""https://www.theguardian.com/uk-news/2024/apr/27/revealed-government-was-warned-of-infected-blood-risks-in-1970s"">Continue reading...</a>",https://www.theguardian.com/uk-news/2024/apr/27/revealed-government-was-warned-of-infected-blood-risks-in-1970s,2024-04-27 15:06:02
Kenya flood death toll rises as more torrential rain forecast,"<p>Total deaths reach 76 and more than 130,000 displaced as weeks of flooding also affects east African neighbours</p><p>Seventy-six people in Kenya have died because of flooding triggered by torrential downpours since March, the government has said, warning residents “to brace for even heavier rainfall”.</p><p>Kenya and its east African neighbours have been battered by stronger than usual rain in recent weeks, compounded by the El Niño weather system.</p> <a href=""https://www.theguardian.com/world/2024/apr/27/kenya-flood-death-toll-rises-as-more-torrential-rain-forecast"">Continue reading...</a>",https://www.theguardian.com/world/2024/apr/27/kenya-flood-death-toll-rises-as-more-torrential-rain-forecast,2024-04-27 15:35:50
Top Tory MP defects to Labour in fury at NHS crisis,"<p>Exclusive: Ex-health minister Dan Poulter, who also works as a hospital doctor, says Conservatives have become ‘nationalist party of the right’</p><p>Read more: <a href=""https://www.theguardian.com/politics/commentisfree/2024/apr/27/dan-poulter-resigning-conservative-party-labour-nhs"">‘I’m resigning as a Tory MP and crossing the floor. Only Labour wants to restore our NHS’</a></p><p>A Tory MP and former health minister has staged a dramatic defection to Labour, saying the Conservatives have become a “nationalist party of the right” that has abandoned ­compassion and no longer prioritises the NHS.</p><p>Dr Dan Poulter, the MP for Central Suffolk and North Ipswich, who works part-time as a mental health doctor in an NHS hospital, announced he was resigning as a Tory MP and would be taking the Labour whip until the next election in an exclusive interview with the <em>Observer</em>.</p> <a href=""https://www.theguardian.com/politics/2024/apr/27/top-tory-mp-defects-to-labour-in-fury-at-nhs-crisis"">Continue reading...</a>",https://www.theguardian.com/politics/2024/apr/27/top-tory-mp-defects-to-labour-in-fury-at-nhs-crisis,2024-04-27 16:08:20
Iraqi TikTok star Om Fahad shot dead outside Baghdad home,"<p>Officials say unidentified man killed influencer who had previously been imprisoned over dancing videos</p><p>A man on a motorbike has shot dead a social media influencer known as Om Fahad outside her Baghdad home, Iraqi security officials have said.</p><p>The unidentified attacker shot Om Fahad in her car in the Zayouna district on Friday, a security official said, requesting anonymity because he was not cleared to speak to the media.</p> <a href=""https://www.theguardian.com/world/2024/apr/27/iraqi-tiktok-star-om-fahad-shot-dead-outside-baghdad-home"">Continue reading...</a>",https://www.theguardian.com/world/2024/apr/27/iraqi-tiktok-star-om-fahad-shot-dead-outside-baghdad-home,2024-04-27 07:47:57
Workers accuse Google of ‘tantrum’ after 50 fired over Israel contract protest,"<p>Tech giant fired number of people who protested against $1.2bn Project Nimbus, which supports Israeli military and government</p><p>Google has been accused of throwing a “tantrum” after sacking more than 50 workers in response to a protest over the company’s military ties to the Israeli government – firings that have shone a light on a controversial project and long-simmering tensions between staff and management.</p><p>The workers were sacked following protests at Google offices in New York City and Sunnyvale, California, organized by <a href=""https://www.notechforapartheid.com/"">No Tech for Apartheid</a> – an alliance of Google and Amazon workers who have been protesting against a $1.2bn contract with the Israeli government called <a href=""https://www.theguardian.com/commentisfree/2021/oct/12/google-amazon-workers-condemn-project-nimbus-israeli-military-contract"">Project Nimbus</a> that they claim will make it “easier for the Israeli government to surveil Palestinians and force them off their land”.</p> <a href=""https://www.theguardian.com/technology/2024/apr/27/google-project-nimbus-israel"">Continue reading...</a>",https://www.theguardian.com/technology/2024/apr/27/google-project-nimbus-israel,2024-04-27 11:00:34
"A room of her own: Mona Lisa could be moved, says Louvre","<p>New room would give thousands of daily visitors better experience, says museum president</p><p>The Mona Lisa, the world’s most famous portrait, could get a room of its own in the Louvre, the museum’s president said.</p><p>Such a move would give visitors, many of whom visit the Louvre for the famous painting alone, a better experience, Laurence des Cars told the broadcaster France Inter.</p> <a href=""https://www.theguardian.com/artanddesign/2024/apr/27/mona-lisa-louvre-move-own-room"">Continue reading...</a>",https://www.theguardian.com/artanddesign/2024/apr/27/mona-lisa-louvre-move-own-room,2024-04-27 14:31:36
"One climber dead and one injured after 1,000ft fall from Alaska mountain","<p>Fall in Denali national park witnessed by another climbing party who dug snow cave and tended to hurt climber</p><p>A climber is dead and another seriously injured after falling about 1,000ft (305 metres) while on a steep, technical route on Mount Johnson in <a href=""https://www.theguardian.com/us-news/alaska"">Alaska</a>’s Denali national park and preserve, authorities said Friday.</p><p>The fall Thursday night was witnessed by another climbing party, who reported it at about 10.45pm and descended to where the climbers had fallen. They confirmed one of the climbers had died, and dug a snow cave and tended to the hurt climber, according to a statement from the park.</p> <a href=""https://www.theguardian.com/us-news/2024/apr/27/climber-dead-1000ft-fall-alaska-mountain"">Continue reading...</a>",https://www.theguardian.com/us-news/2024/apr/27/climber-dead-1000ft-fall-alaska-mountain,2024-04-27 15:43:27
Teenager finds ‘holy grail’ Lego octopus from 1997 spill off Cornwall coast,"<p>Boy discovers octopus figurine that fell from cargo ship along with 5m other Lego pieces during storm</p><p>A 13-year-old boy has discovered a “holy grail” Lego octopus which spilled into the sea from a shipping container in the 1990s.</p><p>The octopus is one of nearly 5m Lego pieces that fell into the sea in 1997 when a storm hit a cargo ship 20 miles off Land’s End, Cornwall. While 352,000 pairs of flippers, 97,500 scuba tanks, and 92,400 swords went overboard, the octopuses are considered the most prized finds as only 4,200 were onboard.</p> <a href=""https://www.theguardian.com/lifeandstyle/2024/apr/27/teenager-finds-holy-grail-lego-octopus-from-1997-spill-off-cornwall-coast"">Continue reading...</a>",https://www.theguardian.com/lifeandstyle/2024/apr/27/teenager-finds-holy-grail-lego-octopus-from-1997-spill-off-cornwall-coast,2024-04-27 14:21:51
