Title,Description,Link,Published Date
Ukrainian men abroad: share your views on Poland and Lithuania’s statements on conscription,"<p>After Poland and Lithuania said they are prepared to help Ukrainian authorities return men subject to military conscription, we want to hear how you feel about it </p><p>Poland and Lithuania have pledged <a href=""https://www.theguardian.com/world/2024/apr/25/poland-and-lithuania-pledge-to-help-kyiv-repatriate-ukrainians-subject-to-military-draft"">to help Ukrainian authorities repatriate men subject to the military draft</a> after Kyiv announced it is ending consular services for such men who are abroad.</p><p>We would like to speak with Ukrainian men living abroad about their views on this development. Whether you left Ukraine following Russia’s full-scale invasion or years before that, we want to hear how you feel about the statements and Kyiv’s suspension of consular services for émigrés.</p> <a href=""https://www.theguardian.com/world/2024/apr/25/ukrainian-men-abroad-share-your-views-on-poland-and-lithuanias-statements-on-conscription"">Continue reading...</a>",https://www.theguardian.com/world/2024/apr/25/ukrainian-men-abroad-share-your-views-on-poland-and-lithuanias-statements-on-conscription,2024-04-25 16:53:48
Have Everton dashed Liverpool’s title dreams? – Football Weekly Extra,"<p><a href=""https://twitter.com/maxrushden"">Max Rushden</a> is joined by <a href=""https://twitter.com/bglendenning"">Barry Glendenning</a>, Jonathan Liew and <a href=""https://twitter.com/robyniocowen"">Robyn Cowen</a> as Liverpool lose the Merseyside derby … and maybe more</p><p><strong>Rate, review, share on <a href=""https://itunes.apple.com/podcast/football-weekly-the-guardian/id188674007?mt=2"">Apple Podcasts</a>, <a href=""https://soundcloud.com/guardianfootballweekly"">Soundcloud</a>, <a href=""https://audioboom.com/channel/football-weekly"">Audioboom</a>, <a href=""https://www.mixcloud.com/guardianfootballweekly/"">Mixcloud</a>, <a href=""https://www.acast.com/footballweekly"">Acast</a> and <a href=""http://www.stitcher.com/podcast/guardianuk/football-weekly"">Stitcher</a>, and join the conversation on <a href=""https://www.facebook.com/GuardianPodcasts/"">Facebook</a>, <a href=""https://twitter.com/guardianaudio"">Twitter</a> and <a href=""mailto:footballweekly@theguardian.com"">email</a>.</strong></p><p>On the podcast today: Everton sink Liverpool in a Merseyside derby that could be the end of the Reds’ title hopes, and which may well be enough to secure the Toffees’ Premier League status.</p> <a href=""https://www.theguardian.com/football/audio/2024/apr/25/have-everton-dashed-liverpool-title-dreams-football-weekly-extra-podcast"">Continue reading...</a>",https://www.theguardian.com/football/audio/2024/apr/25/have-everton-dashed-liverpool-title-dreams-football-weekly-extra-podcast,2024-04-25 10:48:29
"From birds, to cattle, to … us? Could bird flu be the next pandemic? – podcast","<p>As bird flu is confirmed in 33 cattle herds across eight US states, Ian Sample talks to virologist Dr Ed Hutchinson of Glasgow University about why this development has taken scientists by surprise, and how prepared we are for the possibility it might start spreading among humans</p><p><strong><a href=""https://www.theguardian.com/world/bird-flu"">Read more Guardian reporting on this topic</a></strong></p> <a href=""https://www.theguardian.com/science/audio/2024/apr/25/could-bird-flu-be-the-next-pandemic-podcast"">Continue reading...</a>",https://www.theguardian.com/science/audio/2024/apr/25/could-bird-flu-be-the-next-pandemic-podcast,2024-04-25 04:00:15
Police clash with US students protesting against war in Gaza  – video,"<p>Police made arrests after clashing with demonstrators participating in student-led protests against Israel's war in Gaza. The arrests came amid a wave of demonstrations at campuses across the US, which began last week after students at New York’s Columbia University set up encampments calling for the university to divest from weapons manufacturers with ties to Israel. The House speaker, Mike Johnson, jumped into the fray on Wednesday with a visit to Columbia’s campus, where he faced jeers from the pro-Palestinian protesters </p><ul><li><p><a href=""https://www.theguardian.com/us-news/2024/apr/24/palestine-protests-columbia-nyu-mike-johnson"">Police arrest protesters amid crackdown on student rallies across US campuses</a></p></li></ul> <a href=""https://www.theguardian.com/us-news/video/2024/apr/25/arrests-as-police-clash-with-students-demonstrating-at-us-universities-against-war-in-gaza-video"">Continue reading...</a>",https://www.theguardian.com/us-news/video/2024/apr/25/arrests-as-police-clash-with-students-demonstrating-at-us-universities-against-war-in-gaza-video,2024-04-25 04:46:59
What's behind the fight between Elon Musk's X and Australia's eSafety commissioner? – video,"<p>Elon Musk is at war with Australia — in particular Australia's online safety regulator — due to videos that were circulating on his platform after an alleged stabbing at a church in Sydney last week. After the eSafety commissioner requested all social media platforms to remove video of the stabbing from their platforms, X made the videos unavailable to view within Australia, but they're still available to watch both outside of Australia. Now, X and the eSafety commissioner are fighting it out in court, while X's owner Elon Musk continues to fight it out online. Guardian Australia's Josh Taylor explains what's going on behind the tweets</p><ul><li><p><a href=""https://www.theguardian.com/australia-news/2024/apr/23/elon-musks-x-v-australias-online-safety-regulator-untangling-the-tweet-takedown-orders"">Elon Musk’s X v Australia’s online safety regulator: untangling the tweet takedown order</a></p></li><li><p><a href=""https://www.theguardian.com/australia-news/2024/apr/24/elon-musks-x-was-asked-to-remove-65-tweets-with-video-of-sydney-church-stabbing-court-documents-show"">Bishop will argue video of his Sydney church stabbing should not be removed from Elon Musk’s X, court hears</a></p></li></ul> <a href=""https://www.theguardian.com/technology/video/2024/apr/25/whats-behind-the-fight-between-elon-musks-x-and-australias-esafety-commissioner-video"">Continue reading...</a>",https://www.theguardian.com/technology/video/2024/apr/25/whats-behind-the-fight-between-elon-musks-x-and-australias-esafety-commissioner-video,2024-04-25 05:26:56
Unlucky Madrid Open match riddled with bizarre incidents – video,"<p>A thrilling first-round encounter between Shang Juncheng and Corentin Moutet at the Madrid Open descended into controversy. Early on, Moutet clashed with the umpire after accusing a fan of verbal abuse and demanding their removal. He then claimed a fan spilled water on him mid-point in the third set. Adding to the drama, the Frenchman produced a bizarre moment in the decisive tiebreaker, attempting a foot return after his racquet fell while serving. Moutet ended up losing the marathon 3hr 59min match 6(9)-7, 6-2, 7-6(10) to the Chinese youngster.</p><p>""It's gotta be the longest match I have ever played in my life,"" said Shang after his victory. ""On clay it was very tough physically against an amazing player like Corentin ... It was almost the perfect match for me.”</p> <a href=""https://www.theguardian.com/sport/video/2024/apr/25/arguments-water-spills-and-football-madrid-open-match-filled-with-controversy-video"">Continue reading...</a>",https://www.theguardian.com/sport/video/2024/apr/25/arguments-water-spills-and-football-madrid-open-match-filled-with-controversy-video,2024-04-25 12:54:00
'Circumstances have changed': Xavi to stay on as Barcelona head coach – video,"<p>The <a href=""https://www.theguardian.com/football/barcelona"">Barcelona</a> head coach Xavi Hernández has reversed his decision to leave the club at the end of the season as 'circumstances have changed'. Xavi originally decided to leave Barça, citing 'a lack of respect' with the belief that the club needed 'a change of direction'. However now he has said 'the main motive wasn’t because of the internal pressure' adding that he is keen to 'continue here with the utmost happiness ... [I am] willing to keep working and building a winning project'.</p><ul><li><p><a href=""https://www.theguardian.com/football/2024/apr/24/xavi-hernandez-barcelona-talks-joan-laporta""><strong>Xavi Hernández to stay on as Barcelona head coach in dramatic U-turn</strong></a></p></li><li><p><a href=""https://www.theguardian.com/football/2024/apr/25/xavi-barcelona-u-turn""><strong>Xavi’s Barça U-turn shows breaking up is hard to do despite tough times</strong></a></p></li></ul> <a href=""https://www.theguardian.com/football/video/2024/apr/25/circumstances-have-changed-xavi-to-stay-on-as-barcelona-head-coach-video"">Continue reading...</a>",https://www.theguardian.com/football/video/2024/apr/25/circumstances-have-changed-xavi-to-stay-on-as-barcelona-head-coach-video,2024-04-25 14:44:26
Booker prize urged to consider name change over slavery link,"<p>Broadcaster Richie Brave, whose ancestors were enslaved, says organisers should be ‘asking themselves some questions’</p><p>The Radio 1Xtra host Richie Brave has said the Booker prize should consider changing its name because of its links to enslavement.</p><p>Brave’s legal surname is Booker and his ancestors were enslaved by the founders of the company that originally sponsored the prize.</p> <a href=""https://www.theguardian.com/books/2024/apr/25/booker-prize-urged-to-consider-name-change-over-slavery-link"">Continue reading...</a>",https://www.theguardian.com/books/2024/apr/25/booker-prize-urged-to-consider-name-change-over-slavery-link,2024-04-25 17:23:01
"Love Actually, Barbie and Saltburn memorabilia auctioned for War Child","<p>Among 70 lots donated by film and music stars are up for grabs, including Neil Tennant’s coat and Stanley Tucci’s hotpot</p><p>An original shooting script of much-loved Christmas romcom Love Actually is among the lots up for grabs in an auction to support charity War Child.</p><p>The script from the 2003 film contains three unseen storylines “which we eventually cut,” say director Richard Curtis and screenwriter Emma Freud, “lots of jokes which didn’t work, and some childish swearing which we were forced to remove by adults.”</p> <a href=""https://www.theguardian.com/film/2024/apr/25/love-actually-barbie-saltburn-memorabilia-war-child-auction-lots"">Continue reading...</a>",https://www.theguardian.com/film/2024/apr/25/love-actually-barbie-saltburn-memorabilia-war-child-auction-lots,2024-04-25 13:36:29
"Laurence Fox ordered to pay £180,000 to two people he called ‘paedophiles’","<p>High court judge orders actor turned politician to pay £90,000 damages to each individual for social media libel</p><p>The actor and rightwing activist <a href=""https://www.theguardian.com/culture/laurence-fox"">Laurence Fox</a> has been ordered to pay £90,000 each in damages to two people he libelled by referring to them as “paedophiles” on social media.</p><p>A high court judge made the order in London on Thursday. Fox <a href=""https://www.theguardian.com/culture/2024/jan/29/laurence-fox-loses-libel-battle-with-twitter-x-users-he-called-paedophiles"">lost his high court libel battle in January</a>, after Mrs Justice Collins Rice ruled that he had defamed two men by calling them paedophiles after they labelled him a racist.</p> <a href=""https://www.theguardian.com/culture/2024/apr/25/laurence-fox-ordered-to-pay-90000-pounds-to-two-people-he-called-paedophiles"">Continue reading...</a>",https://www.theguardian.com/culture/2024/apr/25/laurence-fox-ordered-to-pay-90000-pounds-to-two-people-he-called-paedophiles,2024-04-25 14:55:24
